"Country","Labor force with primary education (% of total) [SL.TLF.PRIM.ZS]","Labor force with secondary education (% of total) [SL.TLF.SECO.ZS]","Labor force with tertiary education (% of total) [SL.TLF.TERT.ZS]","Scientific and technical journal articles [IP.JRN.ARTC.SC]","Trademark applications, total [IP.TMK.TOTL]","General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS]","Net official development assistance and official aid received (constant 2012 US$) [DT.ODA.ALLD.KD]","Agriculture, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry, value added (% of GDP) [NV.IND.TOTL.ZS]","Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]","Services, etc., value added (% of GDP) [NV.SRV.TETC.ZS]","Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]","GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Previous GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","Previous GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","__ProcessingTime__","__Arcs__","__ConstructionTime__","__TrainingTime__"
BIH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138798488,10.0,0.024849503,0.008220473
HUN,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53881342,6.0,0.021860085,0.008136689
LMC,,,,0.0,0.0,0.0,0.0,0.0,0.375,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.378156558,6.0,0.020826186,0.008064874
AGO,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.358490802,0.0,0.019057612,0.0078671
OSS,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.440327907,0.0,0.019973532,0.008012439
WSM,,,,0.0,0.0,,0.0,,,,,,0.0,0.0,0.0,0.0,0.249114004,0.0,0.018558331,0.00786368
NAC,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353781828,7.0,0.026013353,0.00825809
FRA,0.0,0.0,0.0,0.0,0.25,0.25,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.570950949,15.0,0.040657797,0.009268621
TMP,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255686734,0.0,0.018746416,0.007986221
LMY,,,,0.0,0.0,0.125,0.0,0.0,0.375,0.125,0.375,0.0,0.0,0.0,0.125,0.0,0.463488631,5.0,0.021707336,0.008195965
MOZ,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.458813284,3.0,0.019463421,0.008025548
NAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472260251,8.0,0.021900552,0.008334463
PER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.125,0.0,0.0,0.0,0.649938274,12.0,0.041166198,0.009689249
DNK,0.0,0.0,0.0,0.0,0.375,0.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.534241235,9.0,0.024575925,0.008153788
